key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
4183ffa041051891f99ffb22f7ebfd83137237a021970806b218172ff09f473f;2017-09-29;2017;9;29;3
878a7bfc84497820862473757729e3e2512f1bd583a88a0d44bdf958455d913b;2017-11-18;2017;11;18;4
b923f756e37636760ed231886da26903245c9ac034e4b21f352e5213dd27cdb3;2017-12-20;2017;12;20;4
cf5923b13a16aa32287d079b9a0b734a036ef476309994841b880dca32ed4df0;2018-05-27;2018;5;27;2
21659bdd5406232f43b345ac50cce859e7aaf7285423ea28ae17657d1c2c7fa6;2017-10-06;2017;10;6;4
482d4b326365eb7bf77d7067210de8d96f3c02b9143ec0f3ca6ddef6fc9a3341;2017-03-04;2017;3;4;1
6d33eb96bde3e19bc90b13a233772251d946befb5a1279ab2c6bc9897225c472;2017-02-17;2017;2;17;1
0dca552a7bae5cdd7f6fcd654b1271179c684fbf82070d0e65d349b30689bd8d;2017-03-31;2017;3;31;1
7e7eb6b1ce70150913cb83e73b1b9ef4252c371b3bbd10f161ea3907010ff947;2017-04-01;2017;4;1;2
8bf37bc1a2f2ec0a0847cceb5971242f4c554ac4aacb4690c50883f7e4a8519b;2017-07-23;2017;7;23;3
340e9ef89f01d974f37d1f16db3eb30a8f9a42b1e13990821b03b949c31e0c98;2017-07-03;2017;7;3;3
2936b11147140257645c4a9c52427e6f9a5ebbbd9f6f33c080ad4049341a5c57;2017-09-08;2017;9;8;3
0dfd26c5f4c4b42f5fcfc099516095d90eecfa1a2a294ae3d13bca7f0fcae3d5;2017-01-27;2017;1;27;1
9c8c6d96b97621d079b37eba97a8a263326713e7f21c4adb4cfcf02f859c9a9d;2017-08-23;2017;8;23;3
a6aa887f4f134d0fbedaa8b3fa44c1ece1ef986c8b3370ab61fa5d4953aa1c95;2018-07-01;2018;7;1;3
f67f8b88c4ee213aec90c1d2b6abbe1d9ead9d41914cea84455915d67df6b963;2017-03-23;2017;3;23;1
3a1c42cb9f947f3cafc407509102d8d401e23f268336d866c79ca637a578652b;2018-02-28;2018;2;28;1
12165dc99f8defe116982d31dab5a7f2fb44e0597d44eae0fdadba9abedb5750;2018-08-07;2018;8;7;3
780201c23a8a7416c8c0029d79014ee44e451dda34b516296c766a324ce0776a;2017-09-20;2017;9;20;3
faf994c235595a403f0f4b6a3d83af4c99a1d46455048078903d5b54be05dbaa;2017-12-21;2017;12;21;4
61601da0296d4a754dc1a15a4f1d584e5b418fa636d394cc2ede9c166c54ee45;2018-01-02;2018;1;2;1
7f3be274f8914a50e183a3a14fa28081525766cef0c5ede302b9c6a086b42f23;2018-05-06;2018;5;6;2
407fd64287eefe5dfb3df6f8a3e3b3bcb288a4e4e7f64addef632d982d8c124b;2018-03-27;2018;3;27;1
ccf2e23924f10a0b2ea102b543a028138298a196089a6e733b134596d72903f1;2017-03-18;2017;3;18;1
c756964136409c1851d7f0fb8c5242f58db845014353c74518840ad32adb6c98;2017-07-20;2017;7;20;3
a2df0bdb9f3fc9b15201c84b1ca59646d564a947a2945fdedd1770650a23b929;2018-08-22;2018;8;22;3
4c31d9ec0b9aae735e3db7c0e3b056ea22339e1133ef48671fcc4a7be665861a;2018-02-21;2018;2;21;1
7a1b9844e22f8ffcca1e7f20119b735039aa321e1b8dc7feb99522b9be855c9e;2017-06-17;2017;6;17;2
14b2cedee249cbfe53bcc833a17047f9d75fb45815ae10986e30c22d8e1a45f0;2017-11-16;2017;11;16;4
c0d4db3f46b1d49264b2ce1a6d8b3ecde9e7454913ccb4368b1a36c5c7049dc6;2018-02-11;2018;2;11;1
403c0d30aac6be90275a2b2c5f9124f180e2a651ed420f7acf41d0fbe126f2b3;2017-09-22;2017;9;22;3
47ce01b81d93ad84a332a3e1ff23e040dfb2d30cef6dd56f877a46e29a972adb;2017-06-16;2017;6;16;2
f3d2ee74258b3604319dbf491680e688917d44ebc5f75b79c193bd112b6493f4;2017-11-30;2017;11;30;4
